item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
300,AB,Zr.7Hf.3Co,1.4,80.3,200,473.15,0.03,"Konishi, 1995",858,,,
369,AB2,DyFe2 (M),2.7,,21,294.15,0.03,"Pourarian, 1980",357,,,
549,AB2,Zr.65Ti.35(Mn.3V.14Cr.11Ni.43)1.76,1.7,,30,303.15,0.03,"Lee, 2000",1272,,,
2527,SS,Ti.32Cr.29V.39,2.9,,30,303.15,0.03,"Cho, 1999",1398,,,Sloping plateau
2653,SS,V.85Ti.15,3.9,,30,303.15,0.03,"Kim, 2001",1397,,,
254,AB,HfNi (M),1.3,50,50,323.15,0.02,"van Essen, 1979",386,,,
2235,MIC,PrCo3,1.3,54.2,100,373.15,0.02,"Clinton, 1975",102,,,
270,AB,Li.94Pd,0.9,69.2,300,573.15,0.02,"Sakamoto, 1995",411,,,
39,A2B,Zr2Cu (M),1.3,142,700,973.15,0.02,"Kadel, 1979",429,,,
14,A2B,Ti2Cu,1,,500,773.15,0.02,"Arita, 1979",495,,,
542,AB2,Zr.5Ti.5Mn.4V.6Ni.85Al.15,1.6,,30,303.15,0.02,"Song, 2001",1238,,,sloping plateau
665,AB2,ErMn2,1.75,,22,295.15,0.02,"Viccaro, 1980",359,,,
1260,AB5,LaNi3.55Co.75Mn.4Al.3,,,25,298.15,0.02,"Percheron, 1994",269,,,
1263,AB5,LaNi3.55Mn0.4Al0.3Co0.75,,,25,298.15,0.02,"Latroche, 1998",813,,,
1277,AB5,LaNi4Mn,1.2,,20,293.15,0.02,"Sakai, 1990",570,,,
2066,MIC,DyCo3(M),1.2,,0,273.15,0.02,"Dunlap, 1980",447,,,
2218,MIC,NdCo3(M),1.3,,80,353.15,0.02,"Dunlap, 1980",447,,,
2398,MIC,Zr3Ag (M),1.2,,750,1023.15,0.02,"Deschanvres, 1964",497,,,
2610,SS,Pd.95Ag.05,0.66,,25,298.15,0.02,"Fazle Kibria, 1999",1416,,Deuterium,
2096,MIC,GdCo3 (M),1.3,42.6,20,293.15,0.015,"Kierstead, 1981",444,,,
1684,Mg,Mg6Pd,0.9,80.3,160,433.15,0.014,"Kume, 1987",576,,,
2187,MIC,Mg6Pd,0.9,80.3,160,433.15,0.014,"Kume, 1987",576,,,
658,AB2,ErFe2 (M),1.1,56.2,130,403.15,0.013,"Flanagan, 1987",358,,,
312,AB,ZrCo (M),1.6,67,200,473.15,0.013,"Irvine, 1978",70,,,
239,AB,ErAg,0.3,35.2,790,1063.15,0.01,"Philipp, 1991",384,,,
618,AB2,ZrMn2,1.7,37.4,50,323.15,0.01,"Luo, 1992",582,,,
145,AB,ThNi,1.2,45.3,40,313.15,0.01,"Buschow, 1975",187,,,
457,AB2,Ti.8Zr.2V.6Mn.2Pd.1Ni.8Fe.2,1.3,46.5,25,298.15,0.01,"Yang, 1999",1180,,,
950,AB5,CaNi4B,1.2,55.7,27,300.15,0.01,"Oesterreicher, 1980",43,,,
313,AB,ZrCo.84Ni.16 (M),1.6,83,250,523.15,0.01,"Irvine, 1980",400,,,
391,AB2,SmCo2,1.5,,40,313.15,0.01,"Kanematsu, 1989",558,,,
503,AB2,YFe2 (M),1.7,,100,373.15,0.01,"Paul-Boncour, 1997",648,,,
895,AB2,ZrBe2,2.1,,22,295.15,0.01,"Maeland, 1983",362,,,
2077,MIC,Er6Fe23 (M),0.6,,0,273.15,0.01,"Boltich, 1981",544,,,
2099,MIC,GdCo3(M),1.3,,80,353.15,0.01,"Dunlap, 1980",447,,,
2284,MIC,Th7Ni3,1.5,,40,313.15,0.01,"Buschow, 1977",187,,,
2480,SS,Pd.9Ag.1,0.5,,50,323.15,0.01,"Brodowsky, 1965",527,,,
2494,SS,Pd1-xBx,0.1,,25,298.15,0.01,"Burch, 1970",466,(x=0.033-0.162),,
2590,SS,Pd.901Ag.099,0.6,,25,298.15,0.01,"Fazle Kibria, 1999",1416,,Deuterium,
1276,AB5,LaNi4Mn,,,40,313.15,0.009,"Joubert, 2000",1512,,,
502,AB2,YFe2 (M),,,200,473.15,0.008,"Paul-Boncour, 1997",819,,,
2608,SS,Pd.947Ce.053,0.3,,25,298.15,0.008,"McFall, 1973",470,,,
2286,MIC,ThNiAl,0.9,47,40,313.15,0.007,"Drulis, 1982",434,,,
1291,AB5,LaNi5,1.5,,-78,195.15,0.007,"Andreev, 1984",508,,,
314,AB,ZrNi,1.2,47.5,300,573.15,0.005,"Luo, 1990",550,,,
310,AB,ZrCo,1.7,76.3,200,473.15,0.005,"Konishi, 1995",858,,,
2373,MIC,YCo3,0.4,,50,323.15,0.005,"van Essen, 1980",355,,,
2607,SS,Pd.946Pb.054,0.4,,25,298.15,0.005,"Allard, 1974",468,,,
1703,Mg,MgNi,2,40,25,298.15,0.004,"Ikeda, 1998",1466,Amorphous,,
180,AB,TiCu,1.7,75,200,473.15,0.004,"Maeland, 1978",389,,,
2586,SS,Pd.8Ag.2,0.4,,50,323.15,0.004,"Brodowsky, 1965",527,,,
2611,SS,Pd.95Ag.05,0.7,,25,298.15,0.004,"Fazle Kibria, 2000",1420,,,
914,AB2,ZrCr2,1.8,42,27,300.15,0.003,"Pebler, 1967",13,,,
480,AB2,TmFe2 (M),1.6,56.8,80,353.15,0.003,"Kierstead, 1982",374,,,
38,A2B,Zr2Cu (M),1.3,144,600,873.15,0.003,"Pebler, 1966",12,,,
44,A2B,Zr2Ni,1.3,183,604,877.15,0.003,"Pebler, 1966",12,,,
2505,SS,Pd1-xPbx,0.4,,25,298.15,0.003,"Allard, 1974",468,(x=0.026-0.083),,
903,AB2,ZrCoV,1.8,49.4,50,323.15,0.0023,"Shaltiel, 1977",14,,,
2576,SS,Pd.7Ag.3,0.3,46,50,323.15,0.002,"Brodowsky, 1965",527,,,
2591,SS,Pd.90Ag.10,0.6,,25,298.15,0.002,"Fazle Kibria, 2000",1420,,,
591,AB2,ZrFeV,1.6,48.1,50,323.15,0.0012,"Shaltiel, 1977",14,,,
2068,MIC,DyFe3(M),1.1,45.7,20,293.15,0.001,"Kierstead, 1980",449,,,
659,AB2,ErFe2 (M),1.5,57.9,80,353.15,0.001,"Kierstead, 1980",356,,,
251,AB,HfCo,1.3,59,50,323.15,0.001,"van Essen, 1979",386,,,
749,AB2,PrCo2,1.5,67,100,373.15,0.001,"Clinton, 1975",102,,,
5,A2B,Th2Al,0.8,130,500,773.15,0.001,"Van Vucht, 1963",492,,,
504,AB2,YFe2 (M),2.1,,20,293.15,0.001,"Kierstead, 1982",61,,,
933,AB2,ZrNiAl,0.3,,40,313.15,0.001,"Yoshida, 1995",622,,,
1089,AB5,LaNi4Al,1.1,,20,293.15,0.001,"Sakai, 1990",570,,,
2035,MIC,Ce3Ni,1.9,,30,303.15,0.001,"Au, 1994",599,,,
2152,MIC,La3Ni,1.9,,30,303.15,0.001,"Au, 1994",599,,,
2210,MIC,Nd3Ni,1.9,,30,303.15,0.001,"Au, 1994",599,,,
484,AB2,UNiAl (M),0.5,74.6,100,373.15,0.0003,"Yamanaka, 1999",1260,,,
4,A2B,Th1.5Ce.5Al,0.4,133,650,923.15,0.0003,"Van Vucht, 1963",492,,,
409,AB2,Th1.5Ce.5Al,0.4,133,650,923.15,0.0003,"Van Vucht, 1963",492,,,
368,AB2,DyFe2 (M),1.5,58,80,353.15,0.0001,"Kierstead, 1980",356,,,
682,AB2,GdFe2 (M),1.6,,20,293.15,0.0001,"Kierstead, 1982",61,,,
1706,Mg,MgNi0.5Cu0.5,1.2,8,,,,"Ikeda, 1998",1466,Amorphous,,No plateau
1643,Complex,LiAlH4,10.6,18.9,,,,"Smith, 1963",784,[AlH4],,
644,AB2,ZrMnFe,0.1,20.4,,,,"Fukada, 1999",1255,,0.4 atm at 0°C,No plateau
1480,Complex,Na3AlH6,0.8,22.7,,,,"Meisner, 2002",1440,[AlH6]3-,Measured H-contents,Ti-doped or diamond ball milled
711,AB2,Ho.8Zr.2Fe2,,24,,,,"Kesavan, 1996",681,,,
1705,Mg,MgNi0.5Co0.5,1.8,26,,,,"Ikeda, 1998",1466,Amorphous,,No plateau
1376,AB5,NdNi5,1.03,28,,,,"Gruen, 1977",162,,,
492,AB2,YCo2,2,31,,,,"van Mal, 1976",360,,,
676,AB2,GdCo2,1.5,31,,,,"van Mal, 1976",360,,,
2078,MIC,Er6Mn23 (M),0.5,32.3,,,,"Smith, 1987",692,,,
2114,MIC,Ho6Mn23 (M),0.5,34.6,,,,"Smith, 1987",692,,,
912,AB2,ZrCr2,,36,,,,"Pedziwiatr, 1983",28,,,
1510,Complex,NaAlH4,7.5,37.6,,,,"Smith, 1963",784,[AlH4]-,Stoichiometric H-content,
612,AB2,ZrMn2,,38,,,,"Pedziwiatr, 1983",28,,,
647,AB2,ZrMo2,0.3,38.5,,,,"Pebler, 1967",13,,,
428,AB2,Ti.5Zr.5V.5Ni1.3Zr.2,1.6,38.8,,,,"Verbetsky, 1999",1282,,,No plateau
2364,MIC,Y5Si3C.5,1.4,39.5,,,,"Hassen, 2000",1325,,,
1245,AB5,LaCo5,0.8,42.4,,,,"Shilov, 1983",531,,,
2554,SS,(V.9Ti.1).9Al.05Fe.05,,42.8,,,,"Libowitz, 1988",353,,,
511,AB2,YNi2,1.7,44,,,,"van Mal, 1976",360,,,
412,AB2,ThNi2,1.1,44.7,,,,"Buschow, 1975",187,,,
2363,MIC,Y5Si3C.3,1.1,44.7,,,,"Hassen, 2000",1325,,,
2549,SS,(V.8Ti.2).9Al.05Fe.05,,46.8,,,,"Libowitz, 1988",353,,,
2553,SS,(V.9Ti.1).95Ge.05,,47.3,,,,"Libowitz, 1988",353,,,
2338,MIC,UNiAl,0.8,48,,,,"Drulis, 1982",434,,,
1708,Mg,MgNi0.86Cr0.03,0.9,50,,,,"Tsushio, 1998",1467,Amorphous,,No plateau
675,AB2,GdCo2,1.4,54,,,,"Buschow, 1977",54,,,
286,AB,TiNi,1.4,58,,,,"Burch, 1979",500,,,
2438,MIC,CaNi3,2.1,58,,,,"Oesterreicher, 1980",43,,,
385,AB2,ScMn2,2.3,63,,,,"Shilov, 1983",531,,,
295,AB,YbPd,1,67,,,,"Ensslen, 1983",385,,,
1625,Complex,KBH4,7.5,69,,,,"Smith, 1963",784,[BH4]-,,
1647,Complex,LiBH4,18.5,69,,,,"Smith, 1963",784,[BH4]-,,
1810,Mg,Mg17Al12,4.4,70,,,,"Semenenko, 1983",1499,,,
1623,Complex,KAlH4,5.7,72.6,,,,"Smith, 1963",784,[AlH4],,
271,AB,LiPd,0.7,75.3,,,,"Nacken, 1977",388,,,
1595,Complex,CsAlH4,2.5,77,,,,"Smith, 1963",784,[AlH4]-,,
729,AB2,LaNi2,1.9,79.5,,,,"Maeland, 1976",387,,,
1465,Complex,Mg6Co2,4,89,,,,"Reiser, 2000",1463,Mg6Co2 not stable without H,,
1682,Mg,Mg6Co2,4,89,,,,"Reiser, 2000",1463,Mg6Co2 not stable without H,,
30,A2B,Ti2Pd,1.4,90,,,,"Kadel, 1978",523,,,
1514,Complex,NaBH4,10.7,90,,,,"Smith, 1963",784,[BH4]-,,
265,AB,LaNi,1.9,100,,,,"Busch, 1978",189,,,
273,AB,LuNi,1.2,100,,,,"Ensslen, 1983",385,,,
1752,Mg,LnMg2,3.1,101,,,,"Verbetsky, 1988",1497,"Ln=Ce, La, Er, Yb)",,
2301,MIC,Ti3Sn,0.34,101,,,,"Rudman, 1978",193,,,
240,AB,ErNi,1.4,105,,,,"Ensslen, 1983",385,,,
2518,SS,Ta.5Ti.5,1.5,107,,,,"Verbetsky, 1999",1404,,,
2299,MIC,Ti3Sb,0.8,110,,,,"Rao, 1982",533,,,
2033,MIC,Ce3Al,1.9,111.8,,,,"Yakovleva, 1992",1157,,(cal),
260,AB,LaNi,1.3,118,,,,"Maeland, 1976",387,,,
266,AB,LaNi,2,126,,,,"Ensslen, 1983",385,,,
272,AB,LiPt,0.6,134,,,,"Nacken, 1977",388,,,
294,AB,YbNi,1.2,147,,,,"Ensslen, 1983",385,,,
2042,MIC,Ce7Ni3,1.6,152,,,,"Busch, 1978",189,,,
2157,MIC,La7Ni3,1.7,152,,,,"Busch, 1978",189,,,
939,AB2,ZrV2,2.4,155,,,,"Pebler, 1967",13,,,
3,A2B,Pr2Al,1.4,,,,,"Semenenko, 1985",1151,,(Amorp),
6,A2B,Th2Al,0.8,,,,,"Sorby, 2000",1235,,,
8,A2B,Ti2Al,1.2,,,,,"Semenenko, 1982",532,,,
9,A2B,Ti2Co,0.2,,,,,"Beck, 1962",45,,,
10,A2B,Ti2Co,2.1,,,,,"Verbetsky, 1986",1153,,,
11,A2B,Ti2Co (M),1.7,,,,,"Mintz, 1980",3,,,
12,A2B,Ti2CoOx,1.7,,,,,"Mintz, 1980",3,(x = 0.18-0.33),,
13,A2B,Ti2Cr,0.9,,,,,"Beck, 1962",45,(O-stabilized),,
15,A2B,Ti2Cu,1.7,,,,,"Maeland, 1978",389,,,
16,A2B,Ti2Cu,1.8,,,,,"Padurets, 1982",498,,,
17,A2B,Ti2Cu,2.2,,,,,"Beck, 1962",45,,,
19,A2B,Ti2Fe,0.4,,,,,"Beck, 1962",45,(O-stabilized),,
20,A2B,Ti2FeO.3,0.5,,,,,"Mintz, 1980",3,,,
21,A2B,Ti2FeO.5,0.7,,,,,"Stioui, 1981",493,,,
22,A2B,Ti2Mn,0.9,,,,,"Beck, 1962",45,(O-stabilized),,
23,A2B,Ti2Ni,1.9,,,,,"Beck, 1962",45,,,
24,A2B,Ti2Ni,2,,,,,"Padurets, 1982",498,,(Dp>300 C),
25,A2B,Ti2Ni,2.2,,,,,"Yamanaka, 1975",73,,,
27,A2B,Ti2Ni (M),1.7,,,,,"Mintz, 1980",3,,,
28,A2B,Ti2NiO.3,1.1,,,,,"Mintz, 1980",3,,,
29,A2B,Ti2NiOx,1,,,,,"Mintz, 1979",441,,,
31,A2B,Ti2Pd,1,,,,,"Maeland, 1980",428,,,
32,A2B,Ti2Pd.5Cu.5,85,,,,,"Kadel, 1978",523,,,
33,A2B,Ti2Pt,0.4,,,,,"Beck, 1962",45,(O-stabilized),,
34,A2B,Y2Al,1.4,,,,,"Semenenko, 1985",1151,,(Amorp),
35,A2B,Zr2Co,1.9,,,,,"van Essen, 1979",386,,,
36,A2B,Zr2Cr,1.3,,,,,"Beck, 1962",45,(O-stabilized),,
37,A2B,Zr2Cu,1.7,,,,,"Maeland, 1980",428,,,
40,A2B,Zr2Fe,1.7,,,,,"van Essen, 1979",386,,,
41,A2B,Zr2Fe,2.1,,,,,"Yartys, 1998",1225,,(Dp>400°C),
42,A2B,Zr2Fe(B2O3).1,1.7,,,,,"Zavaliy, 1998",829,,,
43,A2B,Zr2FeO.3,1.5,,,,,"Zavaliy, 1998",829,,,
45,A2B,Zr2Ni,1.3,,,,,"Trzeciak, 1956",483,,,
46,A2B,Zr2Ni,1.8,,,,,"van Essen, 1979",386,,,
47,A2B,Zr2Ni,2,,,,,"Akopyan, 1983",496,,,
48,A2B,Zr2Pd,0.9,,,,,"Maeland, 1980",428,,,
51,A2B,Zr2Rh,1.5,,,,,"Suryanarayana, 1994",596,,,
52,A2B,ZrTiNi,1.9,,,,,"Semenenko, 1980",511,,,
53,A2B,(Hf.2Zr.8)2Fe,1.5,,,,,"Zavaliy, 1998",829,,,
54,A2B,(Hf.4Zr.6)2Fe,1.6,,,,,"Zavaliy, 1998",829,,,
55,A2B,(Hf.6Zr.4)2Fe,1.4,,,,,"Zavaliy, 1998",829,,,
56,A2B,(Hf.8Zr.2)2Fe,1.3,,,,,"Zavaliy, 1998",829,,,
57,A2B,Er2Al,1.1,,,,,"Semenenko, 1985",1151,,(Amorp),
58,A2B,Eu2Ir,1,,,,,"Moyer, 1980",457,,,
59,A2B,Hf2Co,0.7,,,,,"Mukai, 1999",1230,,,
61,A2B,Hf2Co,0.9,,,,,"Jones, 1980",430,,,
62,A2B,Hf2Co,1.1,,,,,"Beck, 1962",45,,,
63,A2B,Hf2Cu,0.4,,,,,"Mukai, 1999",1230,,,
64,A2B,Hf2Cu,0.7,,,,,"Maeland, 1980",428,,,
68,A2B,Hf2Fe,0.8,,,,,"Mukai, 1999",1230,,,
69,A2B,Hf2Fe,1.2,,,,,"Forker, 1999",1227,,,
71,A2B,Hf2Fe,1.2,,,,,"Zavaliy, 1998",829,,,
74,A2B,Hf2Mn,1.1,,,,,"Beck, 1962",45,,,
75,A2B,Hf2Ni,0.7,,,,,"Mukai, 1999",1230,,,
77,A2B,Hf2Ni.5Cu.5,0.7,,,,,"Klyamkin, 1999",1231,,P=10 atm,
78,A2B,Hf2Ni.5Fe.5,1.2,,,,,"Klyamkin, 1999",1231,,P=10 atm,
79,A2B,Hf2Ni.5Mn.5,1.2,,,,,"Klyamkin, 1999",1231,,P=10 atm,
80,A2B,Hf2Ni.5Mn.5,1.2,,,,,"Klyamkin, 1997",655,,2000 atm at -78°C,
81,A2B,Hf2Pd,0.3,,,,,"Mukai, 1999",1230,,,
82,A2B,Hf2Pd,0.4,,,,,"Maeland, 1980",428,,,
84,A2B,Hf2Pt,0.25,,,,,"Beck, 1962",45,,,
86,A2B,Hf2Rh,0.5,,,,,"Jones, 1980",430,,,
87,A2B,Ho2Al,1.2,,,,,"Semenenko, 1985",1151,,(Amorp),
101,A2B,Mg2Co,4.5,,,,,"Selvam, 1991",426,(Mg2Co phase not stable without H),,
105,A2B,Mg2Fe,5.5,,,,,"Selvam, 1991",426,(Mg2Fe phase not stable without H),,
122,A2B,Mg2Ni,4.4,,,,,"Chen, 2002",1491,,"P=60,000 atm (LiAlH4 H2 source)",
123,A2B,Mg2Ni,5.2,,,,,"Chen, 2000",1234,,"P=60,000 atm @ 600C",
141,AB,ScAl,1.1,,,,,"Semenenko, 1985",1151,,,
142,AB,SmMg,,,,,,"Beck, 1962",45,,,
143,AB,ThCo,1.2,,,,,"Beck, 1962",45,,,
161,AB,Ti1-xVxFe1-yMny,1.5,,,,,"Liu, 1982",499,"(x=0.01-0.04, y=0-0.2)",,
164,AB,TiAg,,,,,,"Beck, 1962",45,,,
165,AB,TiAl,0.7,,,,,"Semenenko, 1982",532,,,
173,AB,TiCo.8V.2,1.8,,,,,"Verbetsky, 1986",1153,,,
174,AB,TiCo.9V.1,1.5,,,,,"Verbetsky, 1986",1153,,,
177,AB,TiCu,0.4,,,,,"Beck, 1962",45,,,
181,AB,TiCu,1.8,,,,,"Pauurets, 1982",498,,,
182,AB,TiCu,1.8,,,,,"Yamanaka, 1975",73,,,
190,AB,TiFe.76Al.24,1.1,,,,,"Sandrock, 1978",321,,,
232,AB,BeNi,1.5,,,,,"Chernikov, 1983",432,,,
233,AB,CeAg,,,,,,"Beck, 1962",45,,,
234,AB,CeAl,0.8,,,,,"Semenenko, 1985",1151,,,
235,AB,CeNi,,,,,,"Beck, 1962",45,,,
237,AB,DyAg,,,,,,"Beck, 1962",45,,,
238,AB,DyAl,,,,,,"Beck, 1962",45,,,
242,AB,GdAl,,,,,,"Beck, 1962",45,,,
243,AB,GdCu,,,,,,"Beck, 1962",45,,,
244,AB,GdMg,1.1,,,,,"Reule, 2000",1216,,,
245,AB,GdZn,0.9,,,,,"Reule, 2000",1216,,,
246,AB,GdZn.9Mg.1,0.7,,,,,"Reule, 2000",1216,,,
248,AB,HfCo,1.2,,,,,"Beck, 1962",45,,,
250,AB,HfCo,1.3,,,,,"Mukai, 1999",1230,,,
255,AB,HfPd,0.2,,,,,"Mukai, 1999",1230,,,
256,AB,LaAg,,,,,,"Beck, 1962",45,,,
257,AB,LaAl,,,,,,"Beck, 1962",45,,,
258,AB,LaCd,1.1,,,,,"Beck, 1962",45,,,
259,AB,LaMg,1.8,,,,,"Beck, 1962",45,,,
261,AB,LaNi,1.5,,,,,"van Mal, 1976",103,,,
262,AB,LaNi,1.6,,,,,"Mikheeva, 1978",535,,,
264,AB,LaNi,1.8,,,,,"Oesterreicher, 1976",524,,,
267,AB,LaNi,2,,,,,"Anderson, 1973",99,,,
268,AB,LaPt,0.8,,,,,"Anderson, 1973",99,,,
269,AB,LaZn,,,,,,"Beck, 1962",45,,,
274,AB,PrAg,,,,,,"Beck, 1962",45,,,
275,AB,PrAl,0.7,,,,,"Semenenko, 1985",1151,,,
276,AB,PrGa,,,,,,"Beck, 1962",45,,,
277,AB,PrMg,,,,,,"Beck, 1962",45,,,
278,AB,PrSb,0.2,,,,,"Beck, 1962",45,,,
282,AB,TiMn,1.9,,,,,"Chernikov, 1983",432,,,
285,AB,TiNi,1.3,,,,,"Pauurets, 1982",498,,,
287,AB,TiNi,1.2,,,,,"Reilly, 1966",489,,,
288,AB,TiNiCr.1,1.2,,,,,"Hata, 1980",74,,,
289,AB,TiNiFe.1,1.1,,,,,"Hata, 1980",74,,,
290,AB,TiNiMn.1,1.1,,,,,"Hata, 1980",74,,,
292,AB,YAl,,,,,,"Beck, 1962",45,,,
293,AB,YAl,1.2,,,,,"Semenenko, 1985",1151,,,
296,AB,YCu,,,,,,"Beck, 1962",45,,,
297,AB,YNi,,,,,,"Beck, 1962",45,,,
306,AB,Zr1.02Ni0.98,1.6,,,,,"Simonovic, 1999",1220,,,
317,AB,ZrNi,1.9,,,,,"Beck, 1962",45,,,
320,AB2,(Sc.4Y.4Ti.2)Co2,1.4,,,,,"Burnasheva, 1981",64,,,
324,AB2,Ca.25Mg.75Ni2,1.2,,,,,"Oesterreicher, 1980",43,,,
325,AB2,Ca.5Mg.5Ni2,1.7,,,,,"Oesterreicher, 1980",43,,,
327,AB2,CaAl2,0.6,,,,,"Beck, 1962",45,,,
328,AB2,CaAl2,2.1,,,,,"Shaltiel, 1978",66,,,
329,AB2,CaMg2,5.4,,,,,"Shaltiel, 1978",66,,,
331,AB2,Ce(Fe1-xAlx)2,0.5,,,,,"Raj, 1992",1164,x=0.7-0.85,,
332,AB2,Ce(Fe1-xAlx)2,1.6,,,,,"Raj, 1992",1164,x=0-0.1,(amorp),
334,AB2,CeAl1.5Co.5,1.1,,,,,"Jacob, 1981",459,,,
335,AB2,CeCo1.5Al.5,1.8,,,,,"Jacob, 1981",459,,,
336,AB2,CeCo1.5Ni.5,1.9,,,,,"Jacob, 1981",459,,,
337,AB2,CeCo2,,,,,,"Beck, 1962",45,,,
338,AB2,CeCo2,1.4,,,,,"Burnasheva, 1977",520,,,
340,AB2,CeCo2,1.6,,,,,"Guidotti, 1977",105,,,
341,AB2,CeCo2,1.6,,,,,"Jacob, 1981",459,,,
342,AB2,CeCoAl,1.6,,,,,"Jacob, 1981",459,,,
343,AB2,CeCoAl,,,,,,"Kost, 1979",515,,,
344,AB2,CeFe2,,,,,,"Beck, 1962",45,,,
345,AB2,CeFe2,1.3,,,,,"Burnasheva, 1977",520,,,
346,AB2,CeFe2,1.6,,,,,"Buschow, 1976",685,,,
348,AB2,CeMg2,3.2,,,,,"Kost, 1979",515,,,
349,AB2,CeMg2,3.6,,,,,"Gingl, 1997",650,,,
350,AB2,CeMn.5Al.75,0.6,,27,300.15,,"Spatz, 1997",823,,,
351,AB2,CeMn.5Al.75 (M),0.6,,27,300.15,,"Spatz, 1997",823,,,
352,AB2,CeMn1.5Al.5,1.3,,,,,"Gross, 2000",1270,,Deuterium,
355,AB2,CeNi2,,,,,,"Beck, 1962",45,,,
356,AB2,CeNi2,1.3,,,,,"Burnasheva, 1977",520,,,
357,AB2,CeNi2,1.5,,,,,"Guidotti, 1977",105,,,
359,AB2,CeNi2-yAly,0.8,,,,,"Jacob, 1981",459,(y = 0.2-1.6),,
360,AB2,CeNiAl,0.9,,,,,"Bobet, 2001",1278,,,
361,AB2,CeNiCo,1.6,,,,,"Jacob, 1981",459,,,
362,AB2,CeRu2,1.5,,200,473.15,,"Shaltiel, 1977",14,,,
363,AB2,Dy(Mn.99Fe.01)2,1.5,,,,,"Przewoznik, 1999",1252,,,
364,AB2,DyCo2,1.2,,,,,"Cohen, 1980",517,,,
365,AB2,DyCo2,1.3,,,,,"Burnasheva, 1977",520,,,
366,AB2,DyFe2,1.2,,,,,"Cohen, 1980",517,,,
367,AB2,DyFe2,1.3,,,,,"Burnasheva, 1979",519,,,
370,AB2,DyMn2,0,,,,,"Beck, 1962",45,,,
371,AB2,DyMn2,1.2,,,,,"Cohen, 1980",517,,,
372,AB2,DyMn2,1.7,,,,,"Przewoznik, 1996",525,,,
373,AB2,DyNi2,0.7,,,,,"Cohen, 1980",517,,,
374,AB2,DyNi2,1.2,,,,,"Burnasheva, 1979",519,,,
375,AB2,DyNiAl,,,,,,"Kolomiets, 1997",651,,,
376,AB2,ErCo2,1.2,,,,,"Burnasheva, 1979",519,,,
377,AB2,PrCo2,1.5,,,,,"Burnasheva, 1979",519,,,
378,AB2,PrGa2,0.1,,,,,"Beck, 1962",45,,,
379,AB2,PrNi2,1.5,,,,,"Burnasheva, 1977",520,,,
380,AB2,Sc.5Y.5Fe2,1.5,,,,,"Burnasheva, 1981",64,,,
381,AB2,ScCo2,1.3,,,,,"Burnasheva, 1981",64,,,
382,AB2,ScFe2,1.9,,,,,"Burnasheva, 1981",64,,,
383,AB2,ScFe2,2,,,,,"Kost, 1979",515,,,
386,AB2,ScMn2,2.4,,,,,"Kost, 1979",515,,,
388,AB2,ScNi2,1.2,,,,,"Burnasheva, 1981",64,,,
389,AB2,ScRu2,,,,,,"Shaltiel, 1978",66,,,
390,AB2,SmCo2,1.2,,,,,"Kost, 1979",515,,,
392,AB2,SmFe2,1.1,,,,,"Burnasheva, 1977",520,,,
393,AB2,SmFe2,1.2,,,,,"Kost, 1979",515,,,
394,AB2,SmFe2,1.5,,,,,"Christodoulou, 1993",686,,,
395,AB2,SmMg2,0,,,,,"Beck, 1962",45,,,
396,AB2,SmMg2,1.5,,,,,"Shaltiel, 1978",66,,,
397,AB2,SmMn2,,,,,,"Kost, 1979",515,,,
398,AB2,SmNi2,1.4,,,,,"Burnasheva, 1977",520,,,
399,AB2,SmNi2,1.4,,,,,"Kost, 1979",515,,,
400,AB2,SmNiAl,0.5,,,,,"Kolomiets, 1997",825,,,
401,AB2,SmRu2,1.3,,,,,"Shilov, 1978",510,,,
402,AB2,SmRu2,1.3,,,,,"Kost, 1979",515,,,
404,AB2,TbCo2,1.2,,,,,"Burnasheva, 1979",519,,,
405,AB2,TbNi2,1.1,,,,,"Burnasheva, 1977",520,,,
406,AB2,TbNiAl,0.5,,,,,"Yartys, 1998",1246,,,
407,AB2,TbNiAl,0.6,,,,,"Kolomiets, 1997",651,,,
408,AB2,TbNiAl,0.6,,,,,"Kolomiets, 1997",825,,,
410,AB2,ThMn2,1,,,,,"Beck, 1962",45,,,
411,AB2,ThNi2,0.6,,,,,"Beck, 1962",45,,,
413,AB2,ThRu2,1.1,,,,,"Shaltiel, 1977",14,,,
415,AB2,Ti.25Zr.75Cr1.5Ni.5,1.4,,40,313.15,,"Bououdina, 1998",1249,,,No plateau
416,AB2,Ti.35Zr.65Ni1.2V.6Mn.2Cr.2,1.55,,,,,"Lee, 1997",1179,,,
426,AB2,Ti.5Zr.5Ni1.3V.7B.2,1.4,,,,,"Miyamura, 1993",372,"(B = Al, Cr, Fe, Mn)",,
441,AB2,Ti.8Zr.2Mn.6Ni1.4,1,,,,,"Hsu, 2000",1276,,,No plateau
455,AB2,Ti.8Zr.2NiV.5Mn.5,1.7,,50,323.15,,"Lee, 1997",822,,,
456,AB2,Ti.8Zr.2V.5Mn.5-yCryNi.8,1.3,,,,,"Yu, 1998",1245,y=0-0.5,,No plateaux
468,AB2,TiV1.4Cr.6,3.7,,,,,"Jacob, 1981",459,,,
471,AB2,TiV1.6Co.4,3.1,,,,,"Jacob, 1981",459,,,
